"date","symbol","open","high","close","volume","adj"
2017-07-11,"CNSL",19.845,19.845,18.942999,1518000,19.33
2017-07-12,"CNSL",19,19.14,18.780001,822100,18.780001
2017-07-13,"CNSL",18.8,18.99,18.42,660500,18.42
2017-07-14,"CNSL",17.9,18.43,17.959999,3170200,17.959999
2017-07-03,"VRSN",93.5,94.23,93.900002,520400,93.900002
2017-07-05,"VRSN",94.05,95.76,94.440002,1519900,94.440002
2017-07-06,"VRSN",94.27,94.33,93.25,669100,93.25
2017-07-07,"VRSN",93.37,95.39,94.419998,1693500,94.419998
2017-07-10,"VRSN",94.48,96.16,95.290001,1376100,95.290001
2017-07-11,"VRSN",95.24,95.86,95.610001,537900,95.610001
2017-07-12,"VRSN",96.15,97.07,96.870003,703700,96.870003
2017-07-13,"VRSN",96.64,97.5,97.18,1344600,97.18
2017-07-14,"VRSN",97.31,97.36,96.919998,768600,96.919998
2017-07-03,"ARMK",41.16,41.18,41.07,400300,41.07
2017-07-05,"ARMK",41.12,41.18,40.93,1141200,40.93
2017-07-06,"ARMK",40.5,40.62,39.880001,1717200,39.880001
2017-07-07,"ARMK",40.13,40.27,40.240002,1476500,40.240002
2017-07-10,"ARMK",40.31,40.55,40.09,1595400,40.09
2017-07-11,"ARMK",39.96,39.96,39.720001,2337600,39.720001
2017-07-12,"ARMK",39.97,40.57,40.360001,1205500,40.360001
2017-07-13,"ARMK",40.42,40.45,40.220001,1087700,40.220001
2017-07-14,"ARMK",40.13,40.55,40.389999,1322100,40.389999
2017-07-03,"CGNT",1.73,1.74,1.73,8500,1.73
2017-07-05,"CGNT",1.7,1.7,1.63,5500,1.63
2017-07-06,"CGNT",1.62,1.68,1.65,20600,1.65
2017-07-07,"CGNT",1.63,1.7,1.7,13600,1.7
2017-07-10,"CGNT",1.69,1.69,1.63,13200,1.63
2017-07-11,"CGNT",1.64,1.65,1.62,17800,1.62
2017-07-12,"CGNT",1.64,1.7,1.69,21400,1.69
2017-07-13,"CGNT",1.69,1.7,1.66,18400,1.66
2017-07-14,"CGNT",1.62,1.7,1.69,13900,1.69
2017-07-03,"ORPN",0.72,0.72,0.63,228400,0.63
2017-07-05,"ORPN",0.542,0.67,0.62,240800,0.62
2017-07-06,"ORPN",0.69,0.69,0.613,82600,0.613
2017-07-07,"ORPN",0.56,0.6,0.573,99700,0.573
2017-07-10,"ORPN",0.56,0.61,0.535,46600,0.535
2017-07-11,"ORPN",0.57,0.63,0.597,142400,0.597
2017-07-12,"ORPN",0.56,0.61,0.564,27700,0.564
2017-07-13,"ORPN",0.582,0.61,0.61,53600,0.61
